VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
YV4BR0CL3N,Snohomish,Bothell,WA,98021.0,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,1.0,194401833,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051937.0
1N4AZ0CP6D,Island,Langley,WA,98260.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,10.0,349588004,POINT (-122.408015 48.03557),PUGET SOUND ENERGY INC,53029972000.0
5YJSA1E21H,Chelan,Manson,WA,98831.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,12.0,324336855,POINT (-120.1531 47.885505),PUD NO 1 OF CHELAN COUNTY,53007960400.0
1N4BZ1BV2N,Whitman,Pullman,WA,99163.0,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9.0,206935760,POINT (-117.17912 46.730885),AVISTA CORP,53075000201.0
1N4AZ0CP1D,King,Seattle,WA,98121.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,36.0,169392359,POINT (-122.344125 47.61546),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008002.0
5YJXCAE26J,Snohomish,Lynnwood,WA,98036.0,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1.0,239757577,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051929.0
1FADP5CU7D,Kitsap,Port Orchard,WA,98367.0,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,35.0,135914152,POINT (-122.6847073 47.50524),PUGET SOUND ENERGY INC,53035092901.0
1G1RH6E46E,Kitsap,Bremerton,WA,98311.0,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,23.0,180762949,POINT (-122.6466274 47.6341188),PUGET SOUND ENERGY INC,53035091500.0
1N4BZ0CP7G,Kitsap,Olalla,WA,98359.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,26.0,126520712,POINT (-122.54483 47.41801),PUGET SOUND ENERGY INC,53035092701.0
5YJYGDEE5L,Snohomish,Bothell,WA,98012.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,21.0,113378968,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061051927.0
1N4AZ0CP9F,Thurston,Olympia,WA,98501.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22.0,106513102,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010700.0
3C3CFFGEXG,King,Seattle,WA,98126.0,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,34.0,8688340,POINT (-122.374105 47.54468),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011500.0
1G1FZ6S02K,Skagit,Anacortes,WA,98221.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,40.0,230075835,POINT (-122.615305 48.501275),PUGET SOUND ENERGY INC,53057940301.0
KNDCM3LD8K,King,Seattle,WA,98144.0,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,37.0,228689765,POINT (-122.30823 47.581975),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010002.0
1G1FY6S08L,Snohomish,Monroe,WA,98272.0,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,39.0,219285069,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052207.0
5YJ3E1EB7L,Whitman,Pullman,WA,99163.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,9.0,229704618,POINT (-117.17912 46.730885),AVISTA CORP,53075000601.0
5YJXCAE21G,Chelan,Leavenworth,WA,98826.0,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,12.0,348632413,POINT (-120.6619153 47.5970083),PUD NO 1 OF CHELAN COUNTY,53007960501.0
WA1VABGE2K,Snohomish,Mukilteo,WA,98275.0,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,21.0,478208706,POINT (-122.299965 47.94171),PUGET SOUND ENERGY INC,53061042001.0
JTDKARFP6H,Snohomish,Arlington,WA,98223.0,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,39.0,231154178,POINT (-122.12324 48.19485),PUGET SOUND ENERGY INC,53061052701.0
WAUTPBFF2J,Snohomish,Everett,WA,98208.0,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,44.0,215682085,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061041701.0
5YJ3E1EC2L,Snohomish,Bothell,WA,98021.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,1.0,111732085,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051937.0
KNDCE3LG6L,Thurston,Olympia,WA,98516.0,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22.0,145481024,POINT (-122.7474291 47.0821119),PUGET SOUND ENERGY INC,53067012225.0
5YJ3E1EA9J,King,Redmond,WA,98052.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,48.0,118140830,POINT (-122.12302 47.67668),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032330.0
1N4BZ1CPXK,Snohomish,Everett,WA,98201.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,38.0,126126899,POINT (-122.20722 47.979935),PUGET SOUND ENERGY INC,53061040400.0
5YJ3E1EA0J,Skagit,Bow,WA,98232.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,40.0,138184203,POINT (-122.440636 48.5613885),PUGET SOUND ENERGY INC,53057951900.0
5YJ3E1EA1L,Snohomish,Lake Stevens,WA,98258.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,39.0,7917801,POINT (-122.112265 48.0047),PUGET SOUND ENERGY INC,53061053505.0
